pod_name;exit_status;start_time;end_time;duration;num_messages
parquet-factory-cronjob-1615968000-z95p7;0; Wed, 17 Mar 2021 09:00:09 +0100; Wed, 17 Mar 2021 09:01:19 +0100;;9935
parquet-factory-cronjob-1615968900-rzr6n;0; Wed, 17 Mar 2021 09:15:08 +0100; Wed, 17 Mar 2021 09:15:34 +0100;;4
parquet-factory-cronjob-1615969800-5vtjr;0; Wed, 17 Mar 2021 09:30:06 +0100; Wed, 17 Mar 2021 09:30:32 +0100;;4
parquet-factory-cronjob-1615970700-pcnhk;0; Wed, 17 Mar 2021 09:45:16 +0100; Wed, 17 Mar 2021 09:45:43 +0100;;4
parquet-factory-cronjob-1615971600-5t2s8;0; Wed, 17 Mar 2021 10:00:15 +0100; Wed, 17 Mar 2021 10:01:20 +0100;;9810
parquet-factory-cronjob-1615972500-gx8jr;0; Wed, 17 Mar 2021 10:15:05 +0100; Wed, 17 Mar 2021 10:15:32 +0100;;4
parquet-factory-cronjob-1615973400-mkbg8;0; Wed, 17 Mar 2021 10:30:08 +0100; Wed, 17 Mar 2021 10:30:34 +0100;;4
parquet-factory-cronjob-1615974300-pld65;0; Wed, 17 Mar 2021 10:45:40 +0100; Wed, 17 Mar 2021 10:46:08 +0100;;3
parquet-factory-cronjob-1615975200-nkxwd;0; Wed, 17 Mar 2021 11:00:12 +0100; Wed, 17 Mar 2021 11:01:08 +0100;;9822
parquet-factory-cronjob-1615976100-jxzmp;0; Wed, 17 Mar 2021 11:15:14 +0100; Wed, 17 Mar 2021 11:15:41 +0100;;4
parquet-factory-cronjob-1615977000-q8rzj;0; Wed, 17 Mar 2021 11:30:09 +0100; Wed, 17 Mar 2021 11:30:35 +0100;;4
parquet-factory-cronjob-1615977900-bsb8v;0; Wed, 17 Mar 2021 11:45:14 +0100; Wed, 17 Mar 2021 11:45:41 +0100;;4
parquet-factory-cronjob-1615978800-56gjz;0; Wed, 17 Mar 2021 12:00:07 +0100; Wed, 17 Mar 2021 12:01:10 +0100;;10002
parquet-factory-cronjob-1615979700-ll9lm;0; Wed, 17 Mar 2021 12:15:09 +0100; Wed, 17 Mar 2021 12:15:36 +0100;;43
parquet-factory-cronjob-1615980600-6svf5;0; Wed, 17 Mar 2021 12:30:18 +0100; Wed, 17 Mar 2021 12:30:45 +0100;;4
parquet-factory-cronjob-1615981500-rr4kp;0; Wed, 17 Mar 2021 12:45:05 +0100; Wed, 17 Mar 2021 12:45:31 +0100;;4
parquet-factory-cronjob-1615982400-6bxz9;0; Wed, 17 Mar 2021 13:00:08 +0100; Wed, 17 Mar 2021 13:03:17 +0100;;9847
parquet-factory-cronjob-1615983300-l672b;0; Wed, 17 Mar 2021 13:15:16 +0100; Wed, 17 Mar 2021 13:15:42 +0100;;4
parquet-factory-cronjob-1615984200-jqtp7;0; Wed, 17 Mar 2021 13:30:07 +0100; Wed, 17 Mar 2021 13:30:34 +0100;;4
parquet-factory-cronjob-1615985100-w5zjl;0; Wed, 17 Mar 2021 13:45:06 +0100; Wed, 17 Mar 2021 13:45:33 +0100;;4
parquet-factory-cronjob-1615986000-x6cl2;0; Wed, 17 Mar 2021 14:00:23 +0100; Wed, 17 Mar 2021 14:01:25 +0100;;10002
parquet-factory-cronjob-1615986900-f7mg4;0; Wed, 17 Mar 2021 14:15:14 +0100; Wed, 17 Mar 2021 14:15:41 +0100;;300
parquet-factory-cronjob-1615987800-vx7ks;0; Wed, 17 Mar 2021 14:30:14 +0100; Wed, 17 Mar 2021 14:30:41 +0100;;4
parquet-factory-cronjob-1615988700-4pr8k;0; Wed, 17 Mar 2021 14:45:09 +0100; Wed, 17 Mar 2021 14:45:39 +0100;;3
parquet-factory-cronjob-1615989600-dt58l;0; Wed, 17 Mar 2021 15:00:13 +0100; Wed, 17 Mar 2021 15:00:58 +0100;;10002
parquet-factory-cronjob-1615990500-xh6lv;0; Wed, 17 Mar 2021 15:15:44 +0100; Wed, 17 Mar 2021 15:16:16 +0100;;422
parquet-factory-cronjob-1615991400-f5tjk;0; Wed, 17 Mar 2021 15:30:03 +0100; Wed, 17 Mar 2021 15:30:30 +0100;;4
parquet-factory-cronjob-1615992300-smnmd;0; Wed, 17 Mar 2021 15:45:58 +0100; Wed, 17 Mar 2021 15:46:23 +0100;;4
parquet-factory-cronjob-1615993200-bn4zt;0; Wed, 17 Mar 2021 16:00:04 +0100; Wed, 17 Mar 2021 16:00:39 +0100;;10002
parquet-factory-cronjob-1615994100-sfvq8;0; Wed, 17 Mar 2021 16:15:13 +0100; Wed, 17 Mar 2021 16:16:20 +0100;;1763
